game_id,hand_id,player,received_cards_from,total_score
1,1,player_1,player_4,6
1,2,player_1,player_2,6
1,3,player_1,player_3,10
1,4,player_1,none,26
1,5,player_1,player_4,26
1,6,player_1,player_2,31
1,7,player_1,player_3,57
1,8,player_1,none,81
1,9,player_1,player_4,98
1,10,player_1,player_2,98
1,1,player_3,player_2,5
1,2,player_3,player_4,13
1,3,player_3,player_1,28
1,4,player_3,none,36
1,5,player_3,player_2,60
1,6,player_3,player_4,85
1,7,player_3,player_1,85
1,8,player_3,none,85
1,9,player_3,player_2,86
1,10,player_3,player_4,109
1,1,player_4,player_3,14
1,2,player_4,player_1,32
1,3,player_4,player_2,36
1,4,player_4,none,36
1,5,player_4,player_3,36
1,6,player_4,player_1,36
1,7,player_4,player_2,62
1,8,player_4,none,62
1,9,player_4,player_3,69
1,10,player_4,player_1,69
1,1,player_2,player_1,1
1,2,player_2,player_3,1
1,3,player_2,player_4,4
1,4,player_2,none,4
1,5,player_2,player_1,6
1,6,player_2,player_3,6
1,7,player_2,player_4,32
1,8,player_2,none,32
1,9,player_2,player_1,33
1,10,player_2,player_3,36
2,1,player_1,player_4,1
2,2,player_1,player_2,1
2,3,player_1,player_3,16
2,4,player_1,none,16
2,5,player_1,player_4,17
2,6,player_1,player_2,30
2,7,player_1,player_3,30
2,8,player_1,none,31
2,9,player_1,player_4,39
2,10,player_1,player_2,39
2,11,player_1,player_3,62
2,1,player_3,player_2,1
2,2,player_3,player_4,25
2,3,player_3,player_1,25
2,4,player_3,none,25
2,5,player_3,player_2,28
2,6,player_3,player_4,35
2,7,player_3,player_1,38
2,8,player_3,none,63
2,9,player_3,player_2,63
2,10,player_3,player_4,66
2,11,player_3,player_1,66
2,1,player_4,player_3,5
2,2,player_4,player_1,5
2,3,player_4,player_2,11
2,4,player_4,none,13
2,5,player_4,player_3,31
2,6,player_4,player_1,34
2,7,player_4,player_2,56
2,8,player_4,none,56
2,9,player_4,player_3,74
2,10,player_4,player_1,97
2,11,player_4,player_2,100
2,1,player_2,player_1,19
2,2,player_2,player_3,21
2,3,player_2,player_4,26
2,4,player_2,none,50
2,5,player_2,player_1,54
2,6,player_2,player_3,57
2,7,player_2,player_4,58
2,8,player_2,none,58
2,9,player_2,player_1,58
2,10,player_2,player_3,58
2,11,player_2,player_4,58
3,1,player_1,player_4,0
3,2,player_1,player_2,5
3,3,player_1,player_3,13
3,4,player_1,none,21
3,5,player_1,player_4,22
3,6,player_1,player_2,22
3,7,player_1,player_3,25
3,8,player_1,none,41
3,1,player_3,player_1,23
3,2,player_3,none,37
3,3,player_3,player_2,42
3,4,player_3,player_4,45
3,5,player_3,player_1,51
3,6,player_3,none,75
3,7,player_3,player_2,94
3,8,player_3,player_4,102
3,1,player_4,player_3,3
3,2,player_4,player_1,7
3,3,player_4,player_2,7
3,4,player_4,none,9
3,5,player_4,player_3,9
3,6,player_4,player_1,11
3,7,player_4,player_2,15
3,8,player_4,none,15
3,1,player_2,player_1,0
3,2,player_2,player_3,3
3,3,player_2,player_4,16
3,4,player_2,none,29
3,5,player_2,player_1,48
3,6,player_2,player_3,48
3,7,player_2,player_4,48
3,8,player_2,none,48
4,1,player_1,player_4,23
4,2,player_1,player_2,28
4,3,player_1,player_3,39
4,4,player_1,none,39
4,5,player_1,player_4,50
4,6,player_1,player_2,50
4,7,player_1,player_3,53
4,8,player_1,none,64
4,9,player_1,player_4,64
4,10,player_1,player_2,75
4,11,player_1,player_3,86
4,12,player_1,none,109
4,1,player_3,player_2,1
4,2,player_3,player_4,1
4,3,player_3,player_1,14
4,4,player_3,none,16
4,5,player_3,player_2,31
4,6,player_3,player_4,46
4,7,player_3,player_1,50
4,8,player_3,none,50
4,9,player_3,player_2,50
4,10,player_3,player_4,63
4,11,player_3,player_1,78
4,12,player_3,none,78
4,1,player_4,player_3,2
4,2,player_4,player_1,15
4,3,player_4,player_2,17
4,4,player_4,none,41
4,5,player_4,player_3,41
4,6,player_4,player_1,47
4,7,player_4,player_2,66
4,8,player_4,none,66
4,9,player_4,player_3,68
4,10,player_4,player_1,68
4,11,player_4,player_2,68
4,12,player_4,none,71
4,1,player_2,player_1,0
4,2,player_2,player_3,8
4,3,player_2,player_4,8
4,4,player_2,none,8
4,5,player_2,player_1,8
4,6,player_2,player_3,13
4,7,player_2,player_4,13
4,8,player_2,none,28
4,9,player_2,player_1,52
4,10,player_2,player_3,54
4,11,player_2,player_4,54
4,12,player_2,none,54
5,1,player_1,player_4,0
5,2,player_1,player_2,2
5,3,player_1,player_3,17
5,4,player_1,none,37
5,5,player_1,player_4,37
5,6,player_1,player_2,38
5,7,player_1,player_3,64
5,8,player_1,none,68
5,1,player_3,player_1,12
5,2,player_3,none,13
5,3,player_3,player_2,20
5,4,player_3,player_4,26
5,5,player_3,player_1,26
5,6,player_3,none,26
5,7,player_3,player_2,52
5,8,player_3,player_4,56
5,1,player_4,player_3,1
5,2,player_4,player_1,4
5,3,player_4,player_2,8
5,4,player_4,none,8
5,5,player_4,player_3,9
5,6,player_4,player_1,19
5,7,player_4,player_2,45
5,8,player_4,none,45
5,1,player_2,player_1,13
5,2,player_2,player_3,33
5,3,player_2,player_4,33
5,4,player_2,none,33
5,5,player_2,player_1,58
5,6,player_2,player_3,73
5,7,player_2,player_4,73
5,8,player_2,none,91
6,1,player_1,player_4,0
6,2,player_1,player_2,2
6,3,player_1,player_3,3
6,4,player_1,none,3
6,5,player_1,player_4,18
6,6,player_1,player_2,27
6,7,player_1,player_3,53
6,8,player_1,none,75
6,9,player_1,player_4,76
6,10,player_1,player_2,77
6,11,player_1,player_3,77
6,12,player_1,none,101
6,1,player_2,player_1,11
6,2,player_2,player_3,11
6,3,player_2,player_4,17
6,4,player_2,none,18
6,5,player_2,player_1,20
6,6,player_2,player_3,22
6,7,player_2,player_4,48
6,8,player_2,none,48
6,9,player_2,player_1,48
6,10,player_2,player_3,50
6,11,player_2,player_4,74
6,12,player_2,none,74
6,1,player_3,player_2,15
6,2,player_3,player_4,29
6,3,player_3,player_1,29
6,4,player_3,none,54
6,5,player_3,player_2,63
6,6,player_3,player_4,77
6,7,player_3,player_1,77
6,8,player_3,none,81
6,9,player_3,player_2,85
6,10,player_3,player_4,90
6,11,player_3,player_1,90
6,12,player_3,none,90
6,1,player_4,player_3,0
6,2,player_4,player_1,10
6,3,player_4,player_2,29
6,4,player_4,none,29
6,5,player_4,player_3,29
6,6,player_4,player_1,30
6,7,player_4,player_2,56
6,8,player_4,none,56
6,9,player_4,player_3,77
6,10,player_4,player_1,95
6,11,player_4,player_2,97
6,12,player_4,none,99
7,1,player_1,player_4,17
7,2,player_1,player_2,43
7,3,player_1,player_3,69
7,4,player_1,none,69
7,5,player_1,player_4,70
7,6,player_1,player_2,95
7,7,player_1,player_3,108
7,1,player_2,player_1,1
7,2,player_2,player_3,27
7,3,player_2,player_4,53
7,4,player_2,none,54
7,5,player_2,player_1,54
7,6,player_2,player_3,54
7,7,player_2,player_4,55
7,1,player_4,player_3,8
7,2,player_4,player_1,34
7,3,player_4,player_2,34
7,4,player_4,none,52
7,5,player_4,player_3,77
7,6,player_4,player_1,78
7,7,player_4,player_2,82
7,1,player_3,player_2,0
7,2,player_3,player_4,0
7,3,player_3,player_1,26
7,4,player_3,none,34
7,5,player_3,player_2,34
7,6,player_3,player_4,34
7,7,player_3,player_1,42
8,1,player_1,player_4,0
8,2,player_1,player_2,1
8,3,player_1,player_3,2
8,4,player_1,none,15
8,5,player_1,player_4,30
8,6,player_1,player_2,56
8,7,player_1,player_3,68
8,8,player_1,none,90
8,9,player_1,player_4,92
8,1,player_2,player_1,21
8,2,player_2,player_3,22
8,3,player_2,player_4,22
8,4,player_2,none,32
8,5,player_2,player_1,32
8,6,player_2,player_3,32
8,7,player_2,player_4,45
8,8,player_2,none,45
8,9,player_2,player_1,50
8,1,player_4,player_3,4
8,2,player_4,player_1,28
8,3,player_4,player_2,29
8,4,player_4,none,32
8,5,player_4,player_3,36
8,6,player_4,player_1,62
8,7,player_4,player_2,62
8,8,player_4,none,67
8,9,player_4,player_3,71
8,1,player_3,player_2,1
8,2,player_3,player_4,1
8,3,player_3,player_1,25
8,4,player_3,none,25
8,5,player_3,player_2,32
8,6,player_3,player_4,58
8,7,player_3,player_1,59
8,8,player_3,none,59
8,9,player_3,player_2,74
9,1,player_1,player_4,11
9,2,player_1,player_2,12
9,3,player_1,player_3,13
9,4,player_1,none,13
9,5,player_1,player_4,36
9,1,player_2,player_1,20
9,2,player_2,player_3,38
9,3,player_2,player_4,77
9,4,player_2,none,92
9,5,player_2,player_1,116
9,1,player_4,player_3,16
9,2,player_4,player_1,23
9,3,player_4,player_2,31
9,4,player_4,none,45
9,5,player_4,player_3,50
9,1,player_3,player_2,5
9,2,player_3,player_4,31
9,3,player_3,player_1,35
9,4,player_3,none,58
9,5,player_3,player_2,58
10,1,player_1,player_4,0
10,2,player_1,player_2,19
10,3,player_1,player_3,45
10,4,player_1,none,65
10,5,player_1,player_4,70
10,6,player_1,player_2,70
10,7,player_1,player_3,96
10,8,player_1,none,96
10,1,player_2,player_1,0
10,2,player_2,player_3,0
10,3,player_2,player_4,26
10,4,player_2,none,30
10,5,player_2,player_1,31
10,6,player_2,player_3,32
10,7,player_2,player_4,32
10,8,player_2,none,58
10,1,player_4,player_3,24
10,2,player_4,player_1,24
10,3,player_4,player_2,50
10,4,player_4,none,50
10,5,player_4,player_3,56
10,6,player_4,player_1,69
10,7,player_4,player_2,95
10,8,player_4,none,121
10,1,player_3,player_2,2
10,2,player_3,player_4,9
10,3,player_3,player_1,9
10,4,player_3,none,11
10,5,player_3,player_2,25
10,6,player_3,player_4,37
10,7,player_3,player_1,63
10,8,player_3,none,99
11,1,player_1,player_4,1
11,2,player_1,player_2,1
11,3,player_1,player_3,23
11,4,player_1,none,35
11,5,player_1,player_4,45
11,6,player_1,player_2,66
11,7,player_1,player_3,68
11,8,player_1,none,88
11,9,player_1,player_4,101
11,1,player_4,player_3,0
11,2,player_4,player_1,24
11,3,player_4,player_2,24
11,4,player_4,none,38
11,5,player_4,player_3,38
11,6,player_4,player_1,38
11,7,player_4,player_2,42
11,8,player_4,none,42
11,9,player_4,player_3,66
11,1,player_2,player_1,25
11,2,player_2,player_3,27
11,3,player_2,player_4,27
11,4,player_2,none,27
11,5,player_2,player_1,27
11,6,player_2,player_3,27
11,7,player_2,player_4,27
11,8,player_2,none,27
11,9,player_2,player_1,31
11,1,player_3,player_2,0
11,2,player_3,player_4,0
11,3,player_3,player_1,4
11,4,player_3,none,4
11,5,player_3,player_2,20
11,6,player_3,player_4,25
11,7,player_3,player_1,25
11,8,player_3,none,31
11,9,player_3,player_2,36
12,1,player_1,player_4,26
12,2,player_1,player_2,30
12,3,player_1,player_3,30
12,4,player_1,none,51
12,5,player_1,player_4,56
12,6,player_1,player_2,82
12,7,player_1,player_3,95
12,8,player_1,none,121
12,1,player_3,player_2,26
12,2,player_3,player_4,29
12,3,player_3,player_1,48
12,4,player_3,none,52
12,5,player_3,player_2,52
12,6,player_3,player_4,52
12,7,player_3,player_1,52
12,8,player_3,none,52
12,1,player_2,player_1,26
12,2,player_2,player_3,45
12,3,player_2,player_4,45
12,4,player_2,none,46
12,5,player_2,player_1,65
12,6,player_2,player_3,91
12,7,player_2,player_4,91
12,8,player_2,none,117
12,1,player_4,player_3,0
12,2,player_4,player_1,0
12,3,player_4,player_2,7
12,4,player_4,none,7
12,5,player_4,player_3,9
12,6,player_4,player_1,35
12,7,player_4,player_2,48
12,8,player_4,none,74
13,1,player_1,player_4,0
13,2,player_1,player_2,8
13,3,player_1,player_3,24
13,4,player_1,none,44
13,5,player_1,player_4,50
13,6,player_1,player_2,53
13,7,player_1,player_3,53
13,8,player_1,none,53
13,9,player_1,player_4,54
13,10,player_1,player_2,56
13,11,player_1,player_3,57
13,12,player_1,none,61
13,1,player_2,player_1,9
13,2,player_2,player_3,22
13,3,player_2,player_4,26
13,4,player_2,none,26
13,5,player_2,player_1,26
13,6,player_2,player_3,46
13,7,player_2,player_4,48
13,8,player_2,none,53
13,9,player_2,player_1,58
13,10,player_2,player_3,74
13,11,player_2,player_4,87
13,12,player_2,none,87
13,1,player_4,player_3,14
13,2,player_4,player_1,14
13,3,player_4,player_2,20
13,4,player_4,none,24
13,5,player_4,player_3,40
13,6,player_4,player_1,40
13,7,player_4,player_2,64
13,8,player_4,none,64
13,9,player_4,player_3,84
13,10,player_4,player_1,89
13,11,player_4,player_2,93
13,12,player_4,none,111
13,1,player_3,player_2,3
13,2,player_3,player_4,8
13,3,player_3,player_1,8
13,4,player_3,none,10
13,5,player_3,player_2,14
13,6,player_3,player_4,17
13,7,player_3,player_1,17
13,8,player_3,none,38
13,9,player_3,player_2,38
13,10,player_3,player_4,41
13,11,player_3,player_1,49
13,12,player_3,none,53
14,1,player_1,player_4,0
14,2,player_1,player_2,0
14,3,player_1,player_3,0
14,4,player_1,none,18
14,5,player_1,player_4,18
14,6,player_1,player_2,18
14,7,player_1,player_3,22
14,1,player_3,player_2,26
14,2,player_3,player_4,26
14,3,player_3,player_1,26
14,4,player_3,none,34
14,5,player_3,player_2,46
14,6,player_3,player_4,46
14,7,player_3,player_1,46
14,1,player_2,player_1,26
14,2,player_2,player_3,48
14,3,player_2,player_4,49
14,4,player_2,none,49
14,5,player_2,player_1,49
14,6,player_2,player_3,51
14,7,player_2,player_4,71
14,1,player_4,player_3,26
14,2,player_4,player_1,30
14,3,player_4,player_2,55
14,4,player_4,none,55
14,5,player_4,player_3,69
14,6,player_4,player_1,94
14,7,player_4,player_2,100